PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27346987","IntraFace","De la Torre F, Chu WS, Xiong X, Vicente F, Ding X, Cohn J.","IEEE Int Conf Autom Face Gesture Recognit Workshops. 2015 May;1:10.1109/FG.2015.7163082. doi: 10.1109/FG.2015.7163082.","De la Torre F","IEEE Int Conf Autom Face Gesture Recognit Workshops","2015","2016/06/28","PMC4918819","NIHMS751967","10.1109/FG.2015.7163082"
"32352820","The Emotional Recall Task: Juxtaposing recall and recognition-based affect scales","Li Y, Masitah A, Hills TT.","J Exp Psychol Learn Mem Cogn. 2020 Sep;46(9):1782-1794. doi: 10.1037/xlm0000841. Epub 2020 Apr 30.","Li Y","J Exp Psychol Learn Mem Cogn","2020","2020/05/01","","","10.1037/xlm0000841"
"33238396","Fusion-ConvBERT: Parallel Convolution and BERT Fusion for Speech Emotion Recognition","Lee S, Han DK, Ko H.","Sensors (Basel). 2020 Nov 23;20(22):6688. doi: 10.3390/s20226688.","Lee S","Sensors (Basel)","2020","2020/11/26","PMC7700332","","10.3390/s20226688"
"33374281","CorrNet: Fine-Grained Emotion Recognition for Video Watching Using Wearable Physiological Sensors","Zhang T, El Ali A, Wang C, Hanjalic A, Cesar P.","Sensors (Basel). 2020 Dec 24;21(1):52. doi: 10.3390/s21010052.","Zhang T","Sensors (Basel)","2020","2020/12/30","PMC7795677","","10.3390/s21010052"
"32831902","An EEG Database and Its Initial Benchmark Emotion Classification Performance","Seal A, Reddy PPN, Chaithanya P, Meghana A, Jahnavi K, Krejcar O, Hudak R.","Comput Math Methods Med. 2020 Aug 3;2020:8303465. doi: 10.1155/2020/8303465. eCollection 2020.","Seal A","Comput Math Methods Med","2020","2020/08/25","PMC7422491","","10.1155/2020/8303465"
"31448928","Mindfulness training reduces stress and amygdala reactivity to fearful faces in middle-school children","Bauer CCC, Caballero C, Scherer E, West MR, Mrazek MD, Phillips DT, Whitfield-Gabrieli S, Gabrieli JDE.","Behav Neurosci. 2019 Dec;133(6):569-585. doi: 10.1037/bne0000337. Epub 2019 Aug 26.","Bauer CCC","Behav Neurosci","2019","2019/08/27","","","10.1037/bne0000337"
"33053797","Recognizing Emotions through Facial Expressions: A Largescale Experimental Study","Dores AR, Barbosa F, Queirós C, Carvalho IP, Griffiths MD.","Int J Environ Res Public Health. 2020 Oct 12;17(20):7420. doi: 10.3390/ijerph17207420.","Dores AR","Int J Environ Res Public Health","2020","2020/10/15","PMC7599941","","10.3390/ijerph17207420"
"33230724","The effect of intrinsic image memorability on recollection and familiarity","Broers N, Busch NA.","Mem Cognit. 2021 Jul;49(5):998-1018. doi: 10.3758/s13421-020-01105-6. Epub 2020 Nov 23.","Broers N","Mem Cognit","2021","2020/11/24","PMC8238758","","10.3758/s13421-020-01105-6"
"32012920","Wearable Emotion Recognition Using Heart Rate Data from a Smart Bracelet","Shu L, Yu Y, Chen W, Hua H, Li Q, Jin J, Xu X.","Sensors (Basel). 2020 Jan 28;20(3):718. doi: 10.3390/s20030718.","Shu L","Sensors (Basel)","2020","2020/02/05","PMC7038485","","10.3390/s20030718"
"31905692","A CNN-Assisted Enhanced Audio Signal Processing for Speech Emotion Recognition","Mustaqeem, Kwon S.","Sensors (Basel). 2019 Dec 28;20(1):183. doi: 10.3390/s20010183.","Mustaqeem","Sensors (Basel)","2019","2020/01/08","PMC6982825","","10.3390/s20010183"
"31430308","Hate speech detection: Challenges and solutions","MacAvaney S, Yao HR, Yang E, Russell K, Goharian N, Frieder O.","PLoS One. 2019 Aug 20;14(8):e0221152. doi: 10.1371/journal.pone.0221152. eCollection 2019.","MacAvaney S","PLoS One","2019","2019/08/21","PMC6701757","","10.1371/journal.pone.0221152"
"32316473","Speech Emotion Recognition Based on Selective Interpolation Synthetic Minority Over-Sampling Technique in Small Sample Environment","Liu ZT, Wu BH, Li DY, Xiao P, Mao JW.","Sensors (Basel). 2020 Apr 17;20(8):2297. doi: 10.3390/s20082297.","Liu ZT","Sensors (Basel)","2020","2020/04/23","PMC7219047","","10.3390/s20082297"
"32932723","Deep-Net: A Lightweight CNN-Based Speech Emotion Recognition System Using Deep Frequency Features","Anvarjon T, Mustaqeem, Kwon S.","Sensors (Basel). 2020 Sep 12;20(18):5212. doi: 10.3390/s20185212.","Anvarjon T","Sensors (Basel)","2020","2020/09/16","PMC7570673","","10.3390/s20185212"
